Book_Name,Book_Published_Date,Book_Author,Book_Stock_availability,Book_Price,Book_Publisher,Book_Language,Book_Dimensions,Book_Catagory,Book_Second_Author
The Girl Who Played with Fire (Millennium),"Jul 28, 2009",Stieg Larsson and,,$8.95,"Alfred A. Knopf (July 28, 2009)",English,6.6 x 1.4 x 9.5 inches,Organized Crime Thrillers,Reg Keeland
Moon Tiger,"Sep 18, 1997",Penelope Lively,In Stock.,$7.75,"Grove Press (September 18, 1997)",English,5.5 x 0.8 x 8.5 inches,Contemporary Literature & Fiction,
A Bird in the Hand: Chicken recipes for every day and every mood,"Apr 7, 2015",Diana Henry,In Stock.,$7.49,"Mitchell Beazley (April 7, 2015)",English,7.8 x 1.2 x 10 inches,Poultry Cooking,
True History of the Kelly Gang: A Novel,"Dec 4, 2001",Peter Carey,In Stock.,$7.01,"Vintage; Reprint edition (December 4, 2001)",English,5.1 x 0.8 x 8 inches,Historical British & Irish Literature,
"The Sea, the Sea (Penguin Twentieth Century Classics)","Mar 1, 2001",Iris Murdoch and,In Stock.,$9.19,"Penguin Classics; 1 edition (March 1, 2001)",English,5.1 x 1.2 x 7.8 inches,Sea Stories,Mary Kinzie
Winter (Lunar),"Nov 10, 2015",Marissa Meyer,In Stock.,$10.97,"Feiwel & Friends (November 10, 2015)",English,5.8 x 1.6 x 8.5 inches,Teen & Young Adult Fairy Tale & Folklore Adaptations,
"Towers of Midnight (Wheel of Time, Book Thirteen)","Nov 2, 2010",Robert Jordan and,,$8.15,"Tor Books (November 2, 2010)",English,6.4 x 2.5 x 9.6 inches,Epic Fantasy,Brandon Sanderson
The Cinder Spires: The Aeronaut's Windlass,"Jul 5, 2016",Jim Butcher,In Stock.,$8.08,"Roc; Reprint edition (July 5, 2016)",English,4.2 x 1.6 x 7.6 inches,Steampunk Fiction,
Sex Criminals Volume 1: One Weird Trick,"Apr 16, 2014",Matt Fraction and,In Stock.,$8.54,"Image Comics (April 16, 2014)",English,6.3 x 0.2 x 9.9 inches,Image Comics & Graphic Novels,Chip Zdarsky
"Towers of Midnight (Wheel of Time, Book Thirteen)","Nov 2, 2010",Robert Jordan and,,$8.15,"Tor Books (November 2, 2010)",English,6.4 x 2.5 x 9.6 inches,Epic Fantasy,Brandon Sanderson
The Cinder Spires: The Aeronaut's Windlass,"Jul 5, 2016",Jim Butcher,In Stock.,$8.08,"Roc; Reprint edition (July 5, 2016)",English,4.2 x 1.6 x 7.6 inches,Steampunk Fiction,
Sex Criminals Volume 1: One Weird Trick,"Apr 16, 2014",Matt Fraction and,In Stock.,$8.54,"Image Comics (April 16, 2014)",English,6.3 x 0.2 x 9.9 inches,Image Comics & Graphic Novels,Chip Zdarsky
Ancillary Mercy (Imperial Radch),"Oct 6, 2015",Ann Leckie,In Stock.,$10.87,"Orbit; 1st edition (October 6, 2015)",English,5.5 x 1 x 8.2 inches,Hard Science Fiction,
Yes Please,"Oct 28, 2014",Amy Poehler,,$8.81,"Dey Street; 1st edition (October 28, 2014)",English,6 x 1.1 x 9 inches,Television Performer Biographies,
To Say Nothing of the Dog,"Dec 1, 1998",Connie Willis,In Stock.,$5.23,"Bantam (December 1, 1998)",English,4.2 x 1.2 x 6.9 inches,Humorous Science Fiction,
The Gods Themselves,"Sep 4, 1990",Isaac Asimov,In Stock.,$6.34,"Spectra (September 4, 1990)",English,4.2 x 0.8 x 6.8 inches,Science Fiction Short Stories,
"My Father's Daughter: Delicious, Easy Recipes Celebrating Family & Togetherness","Apr 13, 2011",Gwyneth Paltrow and,,$8.88,"Grand Central Life & Style; 1st Edition edition (April 13, 2011)",English,8.8 x 1 x 10.5 inches,"U.S. Regional Cooking, Food & Wine",Mario Batali
The Inheritance of Loss,"Aug 29, 2006",Kiran Desai,In Stock.,$8.84,"Grove Press; First Trade Paper edition (August 29, 2006)",English,5.2 x 1 x 8 inches,Contemporary Literature & Fiction,
All Clear: A Novel (Oxford Time Travel),"Oct 25, 2011",Connie Willis,In Stock.,$9.53,"Spectra (October 25, 2011)",English,5.5 x 1.3 x 8.2 inches,Literary Fiction,
An Ember in the Ashes,"Apr 28, 2015",Sabaa Tahir,,$8.99,"Razorbill; First Edition edition (April 28, 2015)",English,6.2 x 1.4 x 9.3 inches,Teen & Young Adult Survival Stories,
The Heir (The Selection),"May 5, 2015",Kiera Cass,In Stock.,$10.34,"HarperTeen; 1 edition (May 5, 2015)",English,5.5 x 1.2 x 8.2 inches,"Teen & Young Adult TV, Movie, Video Game Adaptations",
Sex Criminals Volume 3: Three the Hard Way (Sex Criminals Tp),,$14.99,In Stock.,$6.34,"Image Comics (June 21, 2016)",English,6.4 x 0.5 x 9.9 inches,Romance Graphic Novels,Chip Zdarsky
Brief Cases (Dresden Files),,$28.00,In Stock.,$12.21,"Ace (June 5, 2018)",English,9 x 6 x 1.1 inches,Short Stories,
