Book_Name,Book_Published_Date,Book_Author,Book_Stock_availability,Book_Price,Book_Publisher,Book_Language,Book_Dimensions,Book_Catagory,Book_Second_Author
Olivia and the Fairy Princesses,"Aug 28, 2012",Ian Falconer,In Stock.,$8.85,"Atheneum Books for Young Readers; 1St Edition edition (August 28, 2012)",English,8.5 x 0.5 x 11 inches,Children's Royalty Books,
"Butchering Poultry, Rabbit, Lamb, Goat, and Pork: The Comprehensive Photographic Guide to Humane Slaughtering and Butchering","Mar 11, 2014",Adam Danforth and,In Stock.,$18.62,"Storey Publishing, LLC; Comprehensive edition (March 11, 2014)",English,8.6 x 1.1 x 10.9 inches,Animal Husbandry,Joel Salatin
The Martian: A Novel,"Feb 11, 2014",Andy Weir,In Stock.,$14.99,"Crown; 1st edition (February 11, 2014)",English,6.4 x 1.3 x 9.4 inches,Humorous Science Fiction,
Divergent,"May 3, 2011",Veronica Roth,In Stock.,$8.83,"Katherine Tegen Books; 1st edition (May 3, 2011)",English,5.5 x 1.5 x 8.2 inches,Teen & Young Adult Values & Virtues Fiction,
Catching Fire (The Hunger Games),"Sep 1, 2009",Suzanne Collins,In Stock.,$7.99,"Scholastic Press; 1st edition (September 1, 2009)",English,6 x 1.5 x 9 inches,Teen & Young Adult Self Esteem & Reliance Fiction,
The White Tiger: A Novel,"Oct 14, 2008",Aravind Adiga,In Stock.,$8.28,"Free Press (October 14, 2008)",English,5.5 x 0.9 x 8.4 inches,Indian Literature,
Alternative Baker: Reinventing Dessert with Gluten-Free Grains and Flours,"Sep 13, 2016",Alanna Taylor-Tobin,In Stock.,$9.08,"Page Street Publishing (September 13, 2016)",English,8 x 0.8 x 9 inches,Pastry Baking,
The Sense of an Ending,"May 29, 2012",Julian Barnes,In Stock.,$6.43,"Vintage Books; 1st edition (May 29, 2012)",English,5.5 x 0.6 x 8 inches,Self-Help & Psychology Humor,
The Young Chef: Recipes and Techniques for Kids Who Love to Cook,"Apr 5, 2016",The Culinary Institute of America,In Stock.,$12.65,"Houghton Mifflin Harcourt; 1 edition (April 5, 2016)",English,8 x 0.5 x 9 inches,Cooking with Kids,
"The Vegetable Butcher: How to Select, Prep, Slice, Dice, and Masterfully Cook Vegetables from Artichokes to Zucchini","Apr 19, 2016",Cara Mangini,In Stock.,$12.48,"Workman Publishing Company (April 19, 2016)",English,10 x 1 x 12 inches,Vegetable Cooking,
Disgrace: A Novel,"Nov 1, 2000",J. M. Coetzee,In Stock.,$6.61,"Penguin Books (November 1, 2000)",English,5.1 x 0.6 x 7.7 inches,Cultural Heritage Fiction,
"Eat Complete: The 21 Nutrients That Fuel Brainpower, Boost Weight Loss, and Transform Your Health","May 17, 2016",Drew Ramsey M.D.,,$10.83,"Harper Wave; 1 edition (May 17, 2016)",English,7.4 x 1 x 9.1 inches,Neurology,
When I Grow Up,"Feb 1, 2011",Al Yankovic and,In Stock.,$10.79,"HarperCollins; 1st edition (February 1, 2011)",English,11.2 x 0.2 x 10.5 inches,Children's Jobs & Careers Reference Books,Wes Hargis
The Blind Assassin: A Novel,"Aug 28, 2001",Margaret Atwood,In Stock.,$8.14,"Anchor (August 28, 2001)",English,5.2 x 0.9 x 8 inches,Garden Design,
The Blind Assassin: A Novel,"Aug 28, 2001",Margaret Atwood,In Stock.,$8.14,"Anchor (August 28, 2001)",English,5.2 x 0.9 x 8 inches,Garden Design,
"The Return (Pulitzer Prize Winner): Fathers, Sons and the Land in Between","Apr 4, 2017",Hisham Matar,In Stock.,$11.55,"Random House Trade Paperbacks; Reprint edition (April 4, 2017)",English,5.2 x 0.6 x 8 inches,African Politics,
A Fire Upon The Deep (Zones of Thought),"Feb 15, 1993",Vernor Vinge,,$7.10,"Tor Science Fiction (February 15, 1993)",English,4.4 x 1.4 x 6.8 inches,Hard Science Fiction,
A Dance with Dragons (A Song of Ice and Fire),"Jul 12, 2011",George R. R. Martin,In Stock.,$8.13,"Bantam (July 12, 2011)",English,6.5 x 2.1 x 9.5 inches,War & Military Action Fiction,
The Left Hand of Darkness (Ace Science Fiction),"Jul 1, 2000",Ursula K. Le Guin,In Stock.,$10.87,"Ace; Reissue edition (July 1, 2000)",English,5.2 x 0.8 x 8.2 inches,Exploration Science Fiction,
A Court of Thorns and Roses,"May 5, 2015",Sarah J. Maas,In Stock.,$13.55,"Bloomsbury USA Childrens; 1st edition (May 5, 2015)",English,6.4 x 1.6 x 9.6 inches,Teen & Young Adult Epic Fantasy,
Mockingjay (The Hunger Games),"Aug 24, 2010",Suzanne Collins,In Stock.,$7.93,Scholastic Press; 1st edition (September 2010),English,5.8 x 1.2 x 8.5 inches,Teen & Young Adult Self Esteem & Reliance Fiction,
Tasting Rome: Fresh Flavors and Forgotten Recipes from an Ancient City,"Mar 29, 2016",Katie Parla and,In Stock.,$18.99,"Clarkson Potter (March 29, 2016)",English,7.2 x 1 x 10.3 inches,"Mediterranean Cooking, Food & Wine",Kristina Gill
A Brief History of Seven Killings: A Novel,"Sep 8, 2015",Marlon James,In Stock.,$9.82,"Riverhead Books; Reprint edition (September 8, 2015)",English,5.5 x 1.4 x 8.2 inches,Australia & Oceania Literature,
Library of Souls: The Third Novel of Miss Peregrine's Peculiar Children,"Sep 22, 2015",Ransom Riggs,In Stock.,$8.64,"Quirk Books; 1 edition (September 22, 2015)",English,5.5 x 1.2 x 8.5 inches,Teen & Young Adult Time Travel Fiction,
Wolf Hall,"Aug 31, 2010",Hilary Mantel,In Stock.,$8.79,"Picador; First edition (August 31, 2010)",English,5.5 x 1.1 x 8.2 inches,Renaissance Historical Fiction,
NOPI: The Cookbook,"Oct 20, 2015",Yotam Ottolenghi and,In Stock.,$20.00,"Ten Speed Press; 1st Ed edition (October 20, 2015)",English,8 x 1.2 x 10.9 inches,"Middle Eastern Cooking, Food & Wine",Ramael Scully
Alias Grace: A Novel,,$16.95,In Stock.,$9.13,"Anchor; Reprint edition (October 13, 1997)",English,5.2 x 1.1 x 8 inches,Canadian Biographies,
The Heart Goes Last: A Novel,,$16.95,In Stock.,$9.81,"Anchor; Reprint edition (August 9, 2016)",English,5.1 x 0.8 x 8 inches,British & Irish Humor & Satire,
Oryx and Crake (MaddAddam Trilogy),,$16.00,In Stock.,$9.13,Anchor; Reprint edition (May 2004),English,5.1 x 0.9 x 8 inches,Literary Criticism & Theory,
Olio,"Apr 5, 2016",Tyehimba Jess,In Stock.,$15.78,"Wave Books; First Edition edition (April 5, 2016)",English,8.5 x 0.5 x 10 inches,African American Poetry,
Brown Girl Dreaming (Newbery Honor Book),"Aug 28, 2014",Jacqueline Woodson,In Stock.,$8.86,"Nancy Paulsen Books; 1 edition (August 28, 2014)",English,5.9 x 1.1 x 8.6 inches,Children's Literary Biographies,
Red Queen,"Feb 10, 2015",Victoria Aveyard,In Stock.,$9.50,"HarperTeen; 1st edition (February 10, 2015)",English,6 x 1.2 x 9 inches,Teen & Young Adult Mystery & Thriller Action & Adventure,
"The Son of Neptune (Heroes of Olympus, Book 2)","Oct 4, 2011",Rick Riordan,In Stock.,$7.74,"Disney-Hyperion (October 4, 2011)",English,6 x 1.6 x 8.6 inches,Children's General & Other Myth Books,
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,"Oct 8, 2013",Malala Yousafzai and,In Stock.,$8.46,"Little, Brown and Company; 1st edition (October 8, 2013)",English,6.5 x 1.2 x 9.8 inches,Asian Politics,Christina Lamb
Doctor Sleep: A Novel,"Sep 24, 2013",Stephen King,In Stock.,$8.84,"Scribner; 1st edition (September 24, 2013)",English,6.1 x 1.7 x 9.2 inches,Contemporary Literature & Fiction,
The City & The City: A Novel (Random House Reader's Circle),"Apr 27, 2010",China Miéville,In Stock.,$10.29,"Del Rey; Reprint edition (April 27, 2010)",English,5.5 x 0.8 x 8.2 inches,Asian Myth & Legend,
Mr. Mercedes: A Novel (The Bill Hodges Trilogy),"Jun 3, 2014",Stephen King,In Stock.,$7.83,"Scribner; 1st edition (June 3, 2014)",English,6.1 x 1.5 x 9.2 inches,Contemporary Literature & Fiction,
"Sourdough: Recipes for Rustic Fermented Breads, Sweets, Savories, and More","Nov 3, 2015",Sarah Owens and,,$23.52,"Roost Books (November 3, 2015)",English,8.3 x 1.1 x 10.3 inches,Frozen Dessert Recipes,Ngoc Minh Ngo
Barbarian Days: A Surfing Life,"Jul 21, 2015",William Finnegan,In Stock.,$8.99,"Penguin Press; 1st edition (July 21, 2015)",English,6.5 x 1.5 x 9.6 inches,Surfing,
Before I Fall Enhanced Edition,"Mar 8, 2016",Lauren Oliver,In Stock.,$8.84,"HarperCollins; Reprint edition (March 8, 2016)",English,5.2 x 1.2 x 8.2 inches,Teen & Young Adult Fiction,
Blueberry Girl,"Mar 10, 2009",Neil Gaiman and,In Stock.,$13.08,"HarperCollins; First Edition edition (March 10, 2009)",English,10 x 0.2 x 10 inches,Comic Strips,Charles Vess
Redshirts: A Novel with Three Codas,"Jan 15, 2013",John Scalzi,In Stock.,$7.96,"Tor Books; First edition (January 15, 2013)",English,5.5 x 0.9 x 8.2 inches,First Contact Science Fiction,
"Grape, Olive, Pig: Deep Travels Through Spain's Food Culture","Nov 15, 2016",Matt Goulding,In Stock.,$21.96,"Harper Wave/Anthony Bourdain (November 15, 2016)",English,6.5 x 1.3 x 7.8 inches,"Spanish Cooking, Food & Wine",
Neuromancer,"Jul 1, 2000",William Gibson,In Stock.,$9.52,"Ace; Reprint edition (July 1, 2000)",English,5.2 x 0.7 x 8.2 inches,Technothrillers,
A Little Life: A Novel,"Mar 10, 2015",Hanya Yanagihara,In Stock.,$14.40,"Doubleday; 1St Edition edition (March 10, 2015)",English,6.5 x 1.8 x 9.5 inches,Asian American Literature & Fiction,
Written in My Own Heart's Blood (Outlander),"Jun 10, 2014",Diana Gabaldon,In Stock.,$10.16,"Delacorte Press; First Edition edition (June 10, 2014)",English,6.4 x 2.1 x 9.6 inches,Time Travel Romances,
"Taste of Persia: A Cook's Travels Through Armenia, Azerbaijan, Georgia, Iran, and Kurdistan","Sep 20, 2016",Naomi Duguid,In Stock.,$18.90,"Artisan; y First printing edition (September 20, 2016)",English,7.8 x 1.2 x 9.8 inches,Gastronomy Essays,
Illuminae (The Illuminae Files),"Oct 20, 2015",Amie Kaufman and,In Stock.,$10.49,"Knopf Books for Young Readers; 1st Edition edition (October 20, 2015)",English,6.4 x 1.8 x 9.4 inches,Teen & Young Adult Space Opera,Jay Kristoff
"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China","May 5, 2015",Evan Osnos,In Stock.,$8.28,"Farrar, Straus and Giroux; Reprint edition (May 5, 2015)",English,5.5 x 1.1 x 8.2 inches,Chinese History,
The Ocean at the End of the Lane: A Novel,"Jun 18, 2013",Neil Gaiman,In Stock.,$9.75,"William Morrow; 1st edition (June 18, 2013)",English,5.5 x 0.7 x 8.2 inches,Magical Realism,
1Q84,"Oct 25, 2011",Haruki Murakami and,,$15.05,"Knopf; First Edition edition (October 25, 2011)",English,6.3 x 2.1 x 9.4 inches,Magical Realism,Jay Rubin
Taste & Technique: Recipes to Elevate Your Home Cooking,"Sep 13, 2016",Naomi Pomeroy,In Stock.,$8.70,"Ten Speed Press (September 13, 2016)",English,8.8 x 1.4 x 11 inches,"Northwestern U.S. Cooking, Food & Wine",
Confess: A Novel,"Mar 10, 2015",Colleen Hoover,In Stock.,$8.99,"Atria Books (March 10, 2015)",English,5.3 x 0.7 x 8.2 inches,New Adult & College Romance,
"The Diamond Age: Or, a Young Lady's Illustrated Primer (Bantam Spectra Book)","May 2, 2000",Neal Stephenson,In Stock.,$9.62,"Spectra; Reprint edition (May 2, 2000)",English,5.2 x 1.2 x 8.2 inches,Cyberpunk Science Fiction,
Bar Tartine: Techniques & Recipes,"Nov 25, 2014",Cortney Burns and,In Stock.,$19.73,"Chronicle Books; 1st edition (November 25, 2014)",English,8.9 x 1.2 x 10.2 inches,"California Cooking, Food & Wine",Nicolaus Balla
Carry On: A Novel,"Oct 6, 2015",Rainbow Rowell,In Stock.,$10.95,"St. Martin's Griffin; 1st edition (October 6, 2015)",English,5.9 x 1.7 x 8.6 inches,Teen & Young Adult LGBT Romance,
Finders Keepers: A Novel (The Bill Hodges Trilogy),"Jun 2, 2015",Stephen King,In Stock.,$8.73,"Scribner; First Edition edition (June 2, 2015)",English,6.1 x 1.5 x 9.2 inches,Psychic Thrillers,
Gone Girl,"Jun 5, 2012",Gillian Flynn,In Stock.,$7.87,"Crown; 1st edition (June 5, 2012)",English,6.4 x 1.5 x 9.5 inches,Murder Thrillers,
Ringworld: A Novel,"Sep 12, 1985",Larry Niven,In Stock.,$6.47,"Del Rey; later printing edition (September 12, 1985)",English,4.1 x 0.9 x 6.9 inches,Hard Science Fiction,
Green Mars (Mars Trilogy),"May 1, 1995",Kim Stanley Robinson,In Stock.,$7.56,"Bantam Spectra (May 1, 1995)",English,4.1 x 1 x 6.8 inches,Colonization Science Fiction,
Veronica Mars (2): An Original Mystery by Rob Thomas: Mr. Kiss and Tell,"Jan 20, 2015",Rob Thomas and,In Stock.,$10.73,"Vintage; Media Tie In edition (January 20, 2015)",English,5.2 x 0.7 x 8 inches,"TV, Movie & Game Tie-In Fiction",Jennifer Graham
