"Book_Name","Book_Published_Date","Book_Author","Book_Image","Book_Stock_availability","Book_Price","Book_Publisher","Book_Language","Book_Dimensions","Book_Catagory","Book_Second_Author"
"The Vegetable Butcher: How to Select, Prep, Slice, Dice, and Masterfully Cook Vegetables from Artichokes to Zucchini","Apr 19, 2016","Cara Mangini","https://images-na.ssl-images-amazon.com/images/I/51zMxDFFrRL._AC_US218_.jpg","In Stock.","$18.96","Workman Publishing Company (April 19, 2016)","English","10 x 1 x 12 inches","Vegetables",""
"The Book of Life (All Souls)","Jul 15, 2014","Deborah Harkness","https://images-na.ssl-images-amazon.com/images/I/612DJJsCpfL._AC_US218_.jpg","In Stock.","$11.64","Viking; 1st edition (July 15, 2014)","English","6.4 x 1.6 x 9.2 inches","General",""
"Shadow of Night: A Novel (All Souls Trilogy)","Jul 10, 2012","Deborah Harkness","https://images-na.ssl-images-amazon.com/images/I/61hU9SXGiuL._AC_US218_.jpg","In Stock.","$12.99","Viking; First Edition edition (July 10, 2012)","English","6.2 x 1.8 x 9.3 inches","Gothic",""
"Library of Souls: The Third Novel of Miss Peregrine's Peculiar Children","Sep 22, 2015","Ransom Riggs","https://images-na.ssl-images-amazon.com/images/I/512lHExk1KL._AC_US218_.jpg","In Stock.","$8.66","Quirk Books; 1 edition (September 22, 2015)","English","5.5 x 1.2 x 8.5 inches","Time Travel",""
"The English Patient","Nov 30, 1993","Michael Ondaatje","https://images-na.ssl-images-amazon.com/images/I/41Lfzgk-eqL._AC_US218_.jpg","In Stock.","$7.95","Vintage Books (November 30, 1993)","English","5.2 x 0.6 x 8.1 inches","Jewish",""
"Olivia and the Fairy Princesses","Aug 28, 2012","Ian Falconer","https://images-na.ssl-images-amazon.com/images/I/41aQzPcjDIL._AC_US218_.jpg","In Stock.","$9.99","Atheneum Books for Young Readers; 1St Edition edition (August 28, 2012)","English","8.5 x 0.5 x 11 inches","Royalty",""
"The Martian: A Novel","Feb 11, 2014","Andy Weir","https://images-na.ssl-images-amazon.com/images/I/41vw+RmEi4L._AC_US218_.jpg","In Stock.","$14.99","Crown; 1st edition (February 11, 2014)","English","6.4 x 1.3 x 9.4 inches","Humorous",""
"Wolf Hall","Aug 31, 2010","Hilary Mantel","https://images-na.ssl-images-amazon.com/images/I/51sVglTpzKL._AC_US218_.jpg","In Stock.","$8.28","Picador; First edition (August 31, 2010)","English","5.5 x 1.1 x 8.2 inches","Renaissance",""
"Disgrace: A Novel","Nov 1, 2000","J. M. Coetzee","https://images-na.ssl-images-amazon.com/images/I/5122wJI19nL._AC_US218_.jpg","In Stock.","$7.74","Penguin Books (November 1, 2000)","English","5.1 x 0.6 x 7.7 inches","Cultural Heritage",""
"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series","Sep 1, 2015","David Lagercrantz","https://images-na.ssl-images-amazon.com/images/I/61AsBvK+6uL._AC_US218_.jpg","","$9.50","Knopf; First American Edition edition (September 1, 2015)","English","6.5 x 1.4 x 9.6 inches","International Mystery & Crime",""
"A Dance with Dragons (A Song of Ice and Fire)","Jul 12, 2011","George R. R. Martin","https://images-na.ssl-images-amazon.com/images/I/51yAUivPqsL._AC_US218_.jpg","In Stock.","$8.67","Bantam (July 12, 2011)","English","6.5 x 2.1 x 9.5 inches","War & Military",""
"Mockingjay (The Hunger Games)","Aug 24, 2010","Suzanne Collins","https://images-na.ssl-images-amazon.com/images/I/41k66TFC43L._AC_US218_.jpg","In Stock.","$8.00","Scholastic Press; 1st edition (September 2010)","English","5.8 x 1.2 x 8.5 inches","Self Esteem & Reliance",""
