Book_Name,Book_Published_Date,First_Author,Book_Authors,Book_Image,Book_Price,Book_Publisher 1 1,Book_Dimensions,Book_Catagory
The Help,"Feb 10, 2009",Kathryn Stockett,Kathryn Stockett,https://images-na.ssl-images-amazon.com/images/I/51+D9LgM+gL._AC_US218_.jpg,$7.05,G.P. Putnam's Sons ,6.3 x 1.4 x 9.6 inches,Literary
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"May 25, 2010",Stieg Larsson ,Stieg Larsson ; Reg Keeland,https://images-na.ssl-images-amazon.com/images/I/51wARxtg-HL._AC_US218_.jpg,$8.15,Knopf ,6.6 x 1.7 x 9.6 inches,Contemporary
The Paris Wife: A Novel,"Feb 22, 2011",Paula McLain,Paula McLain,https://images-na.ssl-images-amazon.com/images/I/51UpT7L7+uL._AC_US218_.jpg,$8.22,Ballantine Books,6.6 x 0.9 x 9.5 inches,Calculus
Prince Lestat,"Oct 28, 2014",Anne Rice,Anne Rice,https://images-na.ssl-images-amazon.com/images/I/41Ll8A2uGmL._AC_US218_.jpg,$8.06,Alfred A. Knopf,6.5 x 1.4 x 9.5 inches,Vampires
Blue Mars (Mars Trilogy),"Jun 2, 1997",Kim Stanley Robinson,Kim Stanley Robinson,https://images-na.ssl-images-amazon.com/images/I/41+ZU8dmNeL._AC_US218_.jpg,$8.09,Spectra ,4.2 x 1.3 x 6.9 inches,Colonization
The Inheritance of Loss,"Aug 29, 2006",Kiran Desai,Kiran Desai,https://images-na.ssl-images-amazon.com/images/I/51pTEREtSwL._AC_US218_.jpg,$8.48,Grove Press,5.2 x 1 x 8 inches,Contemporary
Ancillary Mercy (Imperial Radch),"Oct 6, 2015",Ann Leckie,Ann Leckie,https://images-na.ssl-images-amazon.com/images/I/51DF6IK63eL._AC_US218_.jpg,$10.87,Orbit,5.5 x 1 x 8.2 inches,Hard Science Fiction
A Spool of Blue Thread,"Feb 10, 2015",Anne Tyler,Anne Tyler,https://images-na.ssl-images-amazon.com/images/I/51fE8qjEYqL._AC_US218_.jpg,$7.99,Knopf,6.7 x 1.2 x 9.6 inches,Family Saga
In Her Kitchen: Stories and Recipes from Grandmas Around the World,"Nov 11, 2014",Gabriele Galimberti,Gabriele Galimberti,https://images-na.ssl-images-amazon.com/images/I/614wuzw7NvL._AC_US218_.jpg,$13.99,Clarkson Potter ,9.3 x 0.9 x 9.3 inches,Myanmar
Foundation's Edge (Foundation Novels),"Oct 1, 1991",Isaac Asimov,Isaac Asimov,https://images-na.ssl-images-amazon.com/images/I/511fYAsFRcL._AC_US218_.jpg,$7.00,Spectra,4.2 x 1 x 6.8 inches,Hard Science Fiction
The Girl on the Train,"Jan 13, 2015",Paula Hawkins,Paula Hawkins,https://images-na.ssl-images-amazon.com/images/I/51KQwCQ326L._AC_US218_.jpg,$7.94,Riverhead Books ,6.4 x 1.1 x 9.4 inches,Psychological Thrillers
#GIRLBOSS,"May 6, 2014",Sophia Amoruso,Sophia Amoruso,https://images-na.ssl-images-amazon.com/images/I/51ukvC3KOTL._AC_US218_.jpg,$8.30,Portfolio,5.8 x 0.9 x 8.6 inches,eBay
"The Sea, the Sea (Penguin Twentieth Century Classics)","Mar 1, 2001",Iris Murdoch ,Iris Murdoch ; Mary Kinzie,https://images-na.ssl-images-amazon.com/images/I/41y1PEbu6BL._AC_US218_.jpg,$9.29,Penguin Classics,5.1 x 1.2 x 7.8 inches,Sea Stories
Tina Fey: Bossypants,"Apr 5, 2011",Tina Fey,Tina Fey,https://images-na.ssl-images-amazon.com/images/I/41vpf7EY8AL._AC_US218_.jpg,$7.75,"Little, Brown",6.4 x 1.1 x 9.5 inches,Comedy
To Say Nothing of the Dog,"Dec 1, 1998",Connie Willis,Connie Willis,https://images-na.ssl-images-amazon.com/images/I/51HlKLHGpnL._AC_US218_.jpg,$6.82,Bantam ,4.2 x 1.2 x 6.9 inches,Humorous
The Famished Road,"May 1, 1993",Ben Okri,Ben Okri,https://images-na.ssl-images-amazon.com/images/I/51u0weQ+MHL._AC_US218_.jpg,$11.95,Anchor,5.2 x 0.8 x 8 inches,Cultural Heritage
Beautiful Redemption: A Novel (The Maddox Brothers Series) (Volume 2),"Jan 27, 2015",Jamie McGuire,Jamie McGuire,https://images-na.ssl-images-amazon.com/images/I/51JYi9QoqOL._AC_US218_.jpg,$10.56,CreateSpace Independent Publishing Platform ,5.5 x 0.7 x 8.5 inches,Contemporary
The Twelve (Passage),"Oct 16, 2012",Justin Cronin,Justin Cronin,https://images-na.ssl-images-amazon.com/images/I/51bwmScnM-L._AC_US218_.jpg,$8.63,Ballantine Books,6.4 x 1.6 x 9.5 inches,Supernatural
A Bird in the Hand: Chicken recipes for every day and every mood,"Apr 7, 2015",Diana Henry,Diana Henry,https://images-na.ssl-images-amazon.com/images/I/61cbOM2keTL._AC_US218_.jpg,$7.44,Mitchell Beazley ,7.8 x 1.2 x 10 inches,Poultry
It's a Book,"Aug 17, 2010",Lane Smith,Lane Smith,https://images-na.ssl-images-amazon.com/images/I/41l7R9C8aBL._AC_US218_.jpg,$8.60,Roaring Brook Press,8.2 x 0.3 x 10.4 inches,Books & Libraries
The Emperor's Soul (Hugo Award Winner - Best Novella),"Oct 10, 2012",Bron Serson,Bron Serson,https://images-na.ssl-images-amazon.com/images/I/51N3e+94ItL._AC_US218_.jpg,$10.98,Tachyon Publications,4.9 x 0.6 x 7.9 inches,Fantasy
Doomsday Book,"Aug 1, 1993",Connie Willis,Connie Willis,https://images-na.ssl-images-amazon.com/images/I/51bUC2F5xdL._AC_US218_.jpg,$7.99,Spectra ,4.2 x 1.3 x 6.9 inches,Medieval
"Towers of Midnight (Wheel of Time, Book Thirteen)","Nov 2, 2010",Robert Jordan ,Robert Jordan ; Brandon Sanderson,https://images-na.ssl-images-amazon.com/images/I/5185XHEzYOL._AC_US218_.jpg,$8.15,Tor Books ,6.4 x 2.5 x 9.6 inches,Epic
"My Father's Daughter: Delicious, Easy Recipes Celebrating Family & Togetherness","Apr 13, 2011",Gwyneth Paltrow ,Gwyneth Paltrow ; Mario Batali,https://images-na.ssl-images-amazon.com/images/I/51xjnkenXOL._AC_US218_.jpg,$8.86,Grand Central Life & Style,8.8 x 1 x 10.5 inches,U.S. Regional
Let's Pretend This Never Happened: (A Mostly True Memoir),"Apr 17, 2012",Jenny Lawson,Jenny Lawson,https://images-na.ssl-images-amazon.com/images/I/41MTlXZSAvL._AC_US218_.jpg,$9.91,Putnam Adult,6.3 x 1.1 x 9.3 inches,Parenting & Families
The Girl Who Played with Fire (Millennium),"Jul 28, 2009",Stieg Larsson ,Stieg Larsson ; Reg Keeland,https://images-na.ssl-images-amazon.com/images/I/51XeQd1pwtL._AC_US218_.jpg,$8.35,Alfred A. Knopf ,6.6 x 1.4 x 9.5 inches,Organized Crime
Yes Please,"Oct 28, 2014",Amy Poehler,Amy Poehler,https://images-na.ssl-images-amazon.com/images/I/51ixvj+75jL._AC_US218_.jpg,$8.80,Dey Street,6 x 1.1 x 9 inches,Television Performers
"The Walking Dead: A Larger World, Vol. 16","Jun 19, 2012",Robert Kirkman ,Robert Kirkman ; Charlie Adlard,https://images-na.ssl-images-amazon.com/images/I/61I46tUkcbL._AC_US218_.jpg,$7.25,Image Comics ,6.5 x 0.5 x 10 inches,Zombies
Sex Criminals Volume 1: One Weird Trick,"Apr 16, 2014",Matt Fraction ,Matt Fraction ; Chip Zdarsky,https://images-na.ssl-images-amazon.com/images/I/41vXnuiqtPL._AC_US218_.jpg,$7.96,Image Comics ,6.3 x 0.2 x 9.9 inches,Image Comics
Firefight (The Reckoners),"Jan 6, 2015",Bron Serson,Bron Serson,https://images-na.ssl-images-amazon.com/images/I/61psPVMhjeL._AC_US218_.jpg,$12.96,Delacorte Press,6.6 x 1.2 x 9.4 inches,Superheroes
"The Kitchn Cookbook: Recipes, Kitchens & Tips to Inspire Your Cooking","Oct 7, 2014",Sara Kate Gillingham ,Sara Kate Gillingham ; Faith Durand,https://images-na.ssl-images-amazon.com/images/I/613QI7pTe+L._AC_US218_.jpg,$15.95,Clarkson Potter ,8.2 x 1.1 x 10.3 inches,Electrical
The Gods Themselves,"Sep 4, 1990",Isaac Asimov,Isaac Asimov,https://images-na.ssl-images-amazon.com/images/I/51XFsyxJHwL._AC_US218_.jpg,$6.33,Spectra ,4.2 x 0.8 x 6.8 inches,Short Stories
Inferno,"May 14, 2013",Dan Brown,Dan Brown,https://images-na.ssl-images-amazon.com/images/I/61k34d72ChL._AC_US218_.jpg,$8.69,Doubleday,6.4 x 1.6 x 9.5 inches,"TV, Movie, Video Game Adaptations"
Ingredient: Unveiling the Essential Elements of Food,"Sep 27, 2016",Ali Bouzari,Ali Bouzari,https://images-na.ssl-images-amazon.com/images/I/51Buu+iaD-L._AC_US218_.jpg,$15.98,Ecco ,7.4 x 0.9 x 9.1 inches,Food Science
The Goblin Emperor,"Mar 3, 2015",Katherine Addison,Katherine Addison,https://images-na.ssl-images-amazon.com/images/I/51TQhUaboPL._AC_US218_.jpg,$2.09,Tor Fantasy ,4.3 x 1.2 x 7 inches,Coming of Age
"The Wrath & the Dawn (The Wrath and the Dawn)""the book is a Rough Cut Edition (pages are deliberately not the same length)""","May 12, 2015",Renée Ahdieh,Renée Ahdieh,https://images-na.ssl-images-amazon.com/images/I/51wB7lUvxzL._AC_US218_.jpg,$8.48,G.P. Putnam's Sons Books for Young Readers,5.8 x 1.2 x 8.5 inches,Ancient
Smokin' Seventeen (Stephanie Plum),"Nov 15, 2011",Janet Evanovich,Janet Evanovich,https://images-na.ssl-images-amazon.com/images/I/51AsP+Bx0nL._AC_US218_.jpg,$6.88,Bantam ,4.2 x 0.9 x 6.9 inches,Lawyers & Criminals
Serenity: Leaves on the Wind,"Nov 18, 2014",Joss Whedon,Joss Whedon,https://images-na.ssl-images-amazon.com/images/I/51DbT6S7ibL._AC_US218_.jpg,,Dark Horse Books ,6.9 x 0.7 x 10.5 inches,Dark Horse
Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy,"Aug 23, 2016",Heather Ann Thompson,Heather Ann Thompson,https://images-na.ssl-images-amazon.com/images/I/51EK74FJUyL._AC_US218_.jpg,$11.19,Pantheon,6.3 x 1.5 x 9.5 inches,Law Enforcement
A Deepness in the Sky (Zones of Thought),"Jan 15, 2000",Vernor Vinge,Vernor Vinge,https://images-na.ssl-images-amazon.com/images/I/51Uqv79ukvL._AC_US218_.jpg,$5.10,Tor Books,4.1 x 1.3 x 6.7 inches,Hard Science Fiction
Pretty Girls: A Novel,"Sep 29, 2015",Karin Slaughter,Karin Slaughter,https://images-na.ssl-images-amazon.com/images/I/51fFHmYFxKL._AC_US218_.jpg,$8.65,William Morrow,6 x 1.3 x 9 inches,Psychological Thrillers
The Autistic Brain: Thinking Across the Spectrum,"Apr 30, 2013",Temple Grin ,Temple Grin ; Richard Panek,https://images-na.ssl-images-amazon.com/images/I/51YgaFmdYiL._AC_US218_.jpg,,Houghton Mifflin Harcourt,6.2 x 1 x 9.2 inches,Neurology
"Lighten Up, Y'all: Classic Southern Recipes Made Healthy and Wholesome","Mar 3, 2015",Virginia Willis,Virginia Willis,https://images-na.ssl-images-amazon.com/images/I/51oxYUDjBDL._AC_US218_.jpg,$11.89,Ten Speed Press ,7.7 x 0.9 x 9.8 inches,Low Fat
